timestamp	harness_version	backend	model	suite	task_id	success	seconds	tokens	cost_usd	turns	notes	kpis
2026-08-02T15:38:56+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0001	1	204.1	2093	0.9496	6	tier:sonnet; class:sonnet	{"erros_html":0.0,"paginas_publicadas":1.0,"paginas_sem_cta":0.0,"peso_total_kb":12.0,"produtos_com_pagina":0.0}
2026-08-02T15:40:56+00:00	v0.4	cli	claude-haiku-4-5-20251001	project	website-faz-rogers/0002	1	100.3	7324	0.1544	13	tier:haiku; class:haiku; error_max_turns	{"erros_html":0.0,"paginas_publicadas":4.0,"paginas_sem_cta":0.0,"peso_total_kb":64.0,"produtos_com_pagina":1.0}
2026-08-02T15:41:54+00:00	v0.4	cli	claude-haiku-4-5-20251001	project	website-faz-rogers/0003	1	48.6	3741	0.0989	13	tier:haiku; class:haiku; error_max_turns	{"erros_html":0.0,"paginas_publicadas":4.0,"paginas_sem_cta":0.0,"peso_total_kb":80.0,"produtos_com_pagina":1.0}
2026-08-02T15:43:54+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0004	1	110.0	2312	0.5454	8	tier:sonnet; class:sonnet	{"erros_html":0.0,"paginas_publicadas":4.0,"paginas_sem_cta":0.0,"peso_total_kb":80.0,"produtos_com_pagina":1.0}
2026-08-02T15:45:06+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0005	1	61.9	3622	0.3436	16	tier:sonnet; class:sonnet	{"erros_html":0.0,"paginas_publicadas":4.0,"paginas_sem_cta":0.0,"peso_total_kb":80.0,"produtos_com_pagina":1.0}
2026-08-02T15:46:26+00:00	v0.4	cli	claude-haiku-4-5-20251001	project	website-faz-rogers/0006	0	72.6	5655	0.1184	13	tier:haiku; class:haiku; error_max_turns; verify:m31[0m     <Content /> [7m  [0m [91m     ~~~~~~~[0m  Result (14 files):  - 1 error - 0 warnings - 0 hints  npm warn deprecated tsconfck@3.1.6: unmaintained	{"erros_html":1.0,"paginas_publicadas":0.0,"paginas_sem_cta":0.0,"peso_total_kb":NaN,"produtos_com_pagina":0.0}
2026-08-02T15:49:16+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0006	1	158.6	980	0.7425	2	tier:sonnet; class:haiku	{"erros_html":0.0,"paginas_publicadas":9.0,"paginas_sem_cta":0.0,"peso_total_kb":120.0,"produtos_com_pagina":6.0}
2026-08-02T15:50:59+00:00	v0.4	cli	claude-haiku-4-5-20251001	project	website-faz-rogers/0007	1	92.9	5144	0.1172	13	tier:haiku; class:haiku; error_max_turns	{"erros_html":0.0,"paginas_publicadas":9.0,"paginas_sem_cta":0.0,"peso_total_kb":124.0,"produtos_com_pagina":6.0}
2026-08-02T15:52:35+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0008	1	84.6	5248	0.4068	20	tier:sonnet; class:sonnet	{"erros_html":0.0,"paginas_publicadas":9.0,"paginas_sem_cta":0.0,"peso_total_kb":124.0,"produtos_com_pagina":6.0}
2026-08-02T15:53:44+00:00	v0.4	cli	claude-haiku-4-5-20251001	project	website-faz-rogers/0009	1	58.6	4289	0.1061	13	tier:haiku; class:haiku; error_max_turns	{"erros_html":0.0,"paginas_publicadas":9.0,"paginas_sem_cta":0.0,"peso_total_kb":124.0,"produtos_com_pagina":6.0}
2026-08-02T15:55:08+00:00	v0.4	cli	claude-haiku-4-5-20251001	project	website-faz-rogers/0010	1	72.7	5596	0.1248	13	tier:haiku; class:haiku; error_max_turns	{"erros_html":0.0,"paginas_publicadas":13.0,"paginas_sem_cta":0.0,"peso_total_kb":160.0,"produtos_com_pagina":6.0}
2026-08-02T15:58:12+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0011	1	172.6	1708	0.7393	4	tier:sonnet; class:haiku	{"erros_html":0.0,"paginas_publicadas":14.0,"paginas_sem_cta":0.0,"peso_total_kb":168.0,"produtos_com_pagina":6.0}
2026-08-02T16:03:44+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0012	1	320.5	1357	1.2566	4	tier:sonnet; class:haiku	{"erros_html":0.0,"paginas_publicadas":14.0,"paginas_sem_cta":0.0,"peso_total_kb":212.0,"produtos_com_pagina":6.0}
2026-08-02T16:08:32+00:00	v0.4	cli	claude-sonnet-5	project	website-faz-rogers/0013	1	254.9	1114	1.2325	3	tier:sonnet; class:haiku	{"erros_html":0.0,"paginas_publicadas":14.0,"paginas_sem_cta":0.0,"peso_total_kb":184.0,"produtos_com_pagina":6.0}
